case_index,trace,startup_policy,startup_utilization,reset_policy,reset_utilization,curve_time_fraction,cooling_tau_s,rated_current_a,samples,valid_updates,invalid_updates,reset_events,authority_loss_events,first_authority_ms,first_reset_ms,first_post_reset_authority_ms,first_post_reset_exhaust_ms,first_prod_exhaust_ms,first_ref_exhaust_ms,first_prod_recovery_ms,first_ref_recovery_ms,prod_utilization_before_reset,prod_utilization_after_reset_seed,max_prod_utilization,max_ref_utilization,final_prod_utilization,final_ref_utilization,max_state_abs_error,max_state_rel_error,max_cap_abs_error_a,production_underestimate_violations,cap_nonconservative_violations,cap_tolerance_violations,state_tolerance_violations,result_mismatch_violations,latch_mismatch_samples,latch_nonconservative_violations,strict_pass
1,single_100a_0p5s.csv,cold-soak,0,unknown,0.8,0.25,300,80,10001,10000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.00166833365802,0.00166805549042,0.00016475195298,0.000164692563137,2.78167595996e-07,2.78167595996e-07,0,0,0,0,0,0,0,0,1
2,single_100a_1p0s.csv,cold-soak,0,unknown,0.8,0.25,300,80,10001,10000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.00333388918079,0.00333333320377,0.000329779722961,0.00032965984275,5.55977020115e-07,5.55977020115e-07,0,0,0,0,0,0,0,0,1
3,single_100a_1p5s.csv,cold-soak,0,unknown,0.8,0.25,300,80,10001,10000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.00499667227268,0.00499583776583,0.000495082465932,0.000494902297082,8.3450685049e-07,8.3450685049e-07,0,0,0,0,0,0,0,0,1
4,single_100a_3p0s.csv,cold-soak,0,unknown,0.8,0.25,300,80,10001,10000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.0099684279412,0.00996675868649,0.000992644694634,0.000992285302289,1.66925471715e-06,1.66925471715e-06,0,0,0,0,0,0,0,0,1
5,single_160a_20s.csv,cold-soak,0,unknown,0.8,0.25,300,80,7001,7000,0,0,0,300000,-1,-1,-1,317900,317900,658900,658800,0,0,1.52193200588,1.52167345906,0.43594238162,0.435821439125,0.000258546823146,0.000207657416124,0,0,0,0,0,0,1,0,1
6,single_200a_5s.csv,cold-soak,0,unknown,0.8,0.25,300,80,7001,7000,0,0,0,300000,-1,-1,-1,308200,308200,646700,646600,0,0,1.53611397743,1.53585904308,0.41854685545,0.418430910528,0.000254934353486,0.000203734842642,0,0,0,0,0,0,1,0,1
7,single_100a_1p5s.csv,cold-soak,0,unknown,0.8,0.25,120,80,10001,10000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.0124273793772,0.0124222010948,3.83876540582e-05,3.83686406209e-05,5.17828243056e-06,5.17828243056e-06,0,0,0,0,0,0,0,0,1
8,single_100a_1p5s.csv,cold-soak,0,unknown,0.8,0.25,300,80,10001,10000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.00499667227268,0.00499583776583,0.000495082465932,0.000494902297082,8.3450685049e-07,8.3450685049e-07,0,0,0,0,0,0,0,0,1
9,single_100a_1p5s.csv,cold-soak,0,unknown,0.8,0.25,600,80,10001,10000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.00260330387391,0.00260308752492,0.000819361011963,0.000819302617414,2.16397275122e-07,2.16397275122e-07,0,0,0,0,0,0,0,0,1
10,single_100a_1p5s.csv,cold-soak,0,unknown,0.8,0.5,120,80,10001,10000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.0124273793772,0.0124221996901,3.83876540582e-05,3.83686362823e-05,5.17968711687e-06,5.17968711687e-06,0,0,0,0,0,0,0,0,1
11,single_100a_1p5s.csv,cold-soak,0,unknown,0.8,0.5,300,80,10001,10000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.00498836813495,0.00498753470408,0.000494259002153,0.000494079771507,8.33430866216e-07,8.33430866216e-07,0,0,0,0,0,0,0,0,1
12,single_100a_1p5s.csv,cold-soak,0,unknown,0.8,0.5,600,80,10001,10000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.00250125001185,0.00250104127994,0.000787240103818,0.000787184313741,2.08770539288e-07,2.08770539288e-07,0,0,0,0,0,0,0,0,1
13,single_100a_1p5s.csv,cold-soak,0,unknown,0.8,0.75,120,80,10001,10000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.0124273793772,0.0124221996901,3.83876540582e-05,3.83686362823e-05,5.17968711703e-06,5.17968711703e-06,0,0,0,0,0,0,0,0,1
14,single_100a_1p5s.csv,cold-soak,0,unknown,0.8,0.75,300,80,10001,10000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.00498835416511,0.00498752090446,0.000494258245453,0.000494078404476,8.33260643787e-07,8.33260643787e-07,0,0,0,0,0,0,0,0,1
15,single_100a_1p5s.csv,cold-soak,0,unknown,0.8,0.75,600,80,10001,10000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.00249725603499,0.00249704725119,0.000785982410889,0.000785927222622,2.08857462819e-07,2.08857462819e-07,0,0,0,0,0,0,0,0,1
16,single_100a_1p5s.csv,known-cold,0,unknown,0.8,0.25,120,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.0124273793772,0.0124222010948,3.83876540582e-05,3.83686406209e-05,5.17828243056e-06,5.17828243056e-06,0,0,0,0,0,0,0,0,1
17,single_100a_1p5s.csv,known-cold,0,unknown,0.8,0.25,300,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.00499667227268,0.00499583776583,0.000495082465932,0.000494902297082,8.3450685049e-07,8.3450685049e-07,0,0,0,0,0,0,0,0,1
18,single_100a_1p5s.csv,known-cold,0,unknown,0.8,0.25,600,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.00260330387391,0.00260308752492,0.000819361011963,0.000819302617414,2.16397275122e-07,2.16397275122e-07,0,0,0,0,0,0,0,0,1
19,single_100a_1p5s.csv,known-cold,0,unknown,0.8,0.5,120,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.0124273793772,0.0124221996901,3.83876540582e-05,3.83686362823e-05,5.17968711687e-06,5.17968711687e-06,0,0,0,0,0,0,0,0,1
20,single_100a_1p5s.csv,known-cold,0,unknown,0.8,0.5,300,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.00498836813495,0.00498753470408,0.000494259002153,0.000494079771507,8.33430866216e-07,8.33430866216e-07,0,0,0,0,0,0,0,0,1
21,single_100a_1p5s.csv,known-cold,0,unknown,0.8,0.5,600,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.00250125001185,0.00250104127994,0.000787240103818,0.000787184313741,2.08770539288e-07,2.08770539288e-07,0,0,0,0,0,0,0,0,1
22,single_100a_1p5s.csv,known-cold,0,unknown,0.8,0.75,120,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.0124273793772,0.0124221996901,3.83876540582e-05,3.83686362823e-05,5.17968711703e-06,5.17968711703e-06,0,0,0,0,0,0,0,0,1
23,single_100a_1p5s.csv,known-cold,0,unknown,0.8,0.75,300,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.00498835416511,0.00498752090446,0.000494258245453,0.000494078404476,8.33260643787e-07,8.33260643787e-07,0,0,0,0,0,0,0,0,1
24,single_100a_1p5s.csv,known-cold,0,unknown,0.8,0.75,600,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.00249725603499,0.00249704725119,0.000785982410889,0.000785927222622,2.08857462819e-07,2.08857462819e-07,0,0,0,0,0,0,0,0,1
25,single_100a_1p5s.csv,seeded,0.5,unknown,0.8,0.25,120,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.499583512545,0.49958350689,0.000158585855388,0.000158553363907,6.50570408837e-06,6.50570408837e-06,0,0,0,0,0,0,0,0,1
26,single_100a_1p5s.csv,seeded,0.5,unknown,0.8,0.25,300,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.499833375216,0.499833361106,0.0183370802552,0.0183318980847,1.6537029621e-05,1.6537029621e-05,0,0,0,0,0,0,0,0,1
27,single_100a_1p5s.csv,seeded,0.5,unknown,0.8,0.25,600,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.499916672707,0.499916673609,0.0952552556992,0.0952571016908,2.01940390759e-06,2.01940390759e-06,0,0,0,0,0,0,0,0,1
28,single_100a_1p5s.csv,seeded,0.5,unknown,0.8,0.5,120,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.499583512545,0.49958350689,0.000158585855388,0.000158553359568,6.50710877468e-06,6.50710877468e-06,0,0,0,0,0,0,0,0,1
29,single_100a_1p5s.csv,seeded,0.5,unknown,0.8,0.5,300,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.499833375216,0.499833361106,0.0183363109827,0.0183310755592,1.65998061851e-05,1.65998061851e-05,0,0,0,0,0,0,0,0,1
30,single_100a_1p5s.csv,seeded,0.5,unknown,0.8,0.5,600,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.499916672707,0.499916673609,0.0952231585979,0.0952249833871,1.9643635463e-06,1.9643635463e-06,0,0,0,0,0,0,0,0,1
31,single_100a_1p5s.csv,seeded,0.5,unknown,0.8,0.75,120,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.499583512545,0.49958350689,0.000158585855388,0.000158553359568,6.50710877484e-06,6.50710877484e-06,0,0,0,0,0,0,0,0,1
32,single_100a_1p5s.csv,seeded,0.5,unknown,0.8,0.75,300,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.499833375216,0.499833361106,0.0183363109827,0.0183310741921,1.66135966046e-05,1.66135966046e-05,0,0,0,0,0,0,0,0,1
33,single_100a_1p5s.csv,seeded,0.5,unknown,0.8,0.75,600,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.499916672707,0.499916673609,0.0952221229672,0.095223726296,1.94095443357e-06,1.94095443357e-06,0,0,0,0,0,0,0,0,1
34,single_100a_1p5s.csv,seeded,0.8,unknown,0.8,0.25,120,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.799333631992,0.799333611024,0.00023070446332,0.000230664197878,7.25428710273e-06,7.25428710273e-06,0,0,0,0,0,0,0,0,1
35,single_100a_1p5s.csv,seeded,0.8,unknown,0.8,0.25,300,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.799733400345,0.799733377769,0.0290423259139,0.0290340955573,2.5755876384e-05,2.5755876384e-05,0,0,0,0,0,0,0,0,1
36,single_100a_1p5s.csv,seeded,0.8,unknown,0.8,0.25,600,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.799866676331,0.799866677775,0.151916980743,0.151919781135,3.47096040365e-06,3.47096040365e-06,0,0,0,0,0,0,0,0,1
37,single_100a_1p5s.csv,seeded,0.8,unknown,0.8,0.5,120,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.799333631992,0.799333611024,0.00023070446332,0.000230664193539,7.25569178903e-06,7.25569178903e-06,0,0,0,0,0,0,0,0,1
38,single_100a_1p5s.csv,seeded,0.8,unknown,0.8,0.5,300,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.799733400345,0.799733377769,0.0290415808558,0.0290332730318,2.60319009781e-05,2.60319009781e-05,0,0,0,0,0,0,0,0,1
39,single_100a_1p5s.csv,seeded,0.8,unknown,0.8,0.5,600,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.799866676331,0.799866677775,0.151885077357,0.151887662831,3.16255100175e-06,3.16255100175e-06,0,0,0,0,0,0,0,0,1
40,single_100a_1p5s.csv,seeded,0.8,unknown,0.8,0.75,120,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.799333631992,0.799333611024,0.00023070446332,0.000230664193539,7.25569178919e-06,7.25569178919e-06,0,0,0,0,0,0,0,0,1
41,single_100a_1p5s.csv,seeded,0.8,unknown,0.8,0.75,300,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.799733400345,0.799733377769,0.0290415808558,0.0290332716647,2.60444457932e-05,2.60444457932e-05,0,0,0,0,0,0,0,0,1
42,single_100a_1p5s.csv,seeded,0.8,unknown,0.8,0.75,600,80,10001,10000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.799866676331,0.799866677775,0.151883780956,0.15188640574,3.12993308738e-06,3.12993308738e-06,0,0,0,0,0,0,0,0,1
43,repeated_corner_exit.csv,cold-soak,0,unknown,0.8,0.25,120,80,6001,6000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.278456896544,0.278338383421,0.271060734987,0.270945227199,0.000118513122821,0.000118513122821,0,0,0,0,0,0,0,0,1
44,repeated_corner_exit.csv,cold-soak,0,unknown,0.8,0.25,300,80,6001,6000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.18923176825,0.189192922625,0.187308654189,0.187270008629,3.88456253023e-05,3.88456253023e-05,0,0,0,0,0,0,0,0,1
45,repeated_corner_exit.csv,cold-soak,0,unknown,0.8,0.25,600,80,6001,6000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.121838204563,0.121828979703,0.121283121407,0.12127393606,9.22516591688e-06,9.22516591688e-06,0,0,0,0,0,0,0,0,1
46,repeated_corner_exit.csv,cold-soak,0,unknown,0.8,0.5,120,80,6001,6000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.278456896544,0.278338351947,0.271060734987,0.270945196561,0.000118544596962,0.000118544596962,0,0,0,0,0,0,0,0,1
47,repeated_corner_exit.csv,cold-soak,0,unknown,0.8,0.5,300,80,6001,6000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.18891787529,0.188878484768,0.186997935176,0.186958766647,3.93905214826e-05,3.93905214826e-05,0,0,0,0,0,0,0,0,1
48,repeated_corner_exit.csv,cold-soak,0,unknown,0.8,0.5,600,80,6001,6000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.11706289649,0.117053039674,0.116529561579,0.116519754854,9.85841059215e-06,9.85841059215e-06,0,0,0,0,0,0,0,0,1
49,repeated_corner_exit.csv,cold-soak,0,unknown,0.8,0.75,120,80,6001,6000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.278456896544,0.278338351947,0.271060734987,0.270945196561,0.000118544596966,0.000118544596966,0,0,0,0,0,0,0,0,1
50,repeated_corner_exit.csv,cold-soak,0,unknown,0.8,0.75,300,80,6001,6000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.188917651772,0.188877962175,0.18699772656,0.186958249366,3.96895970391e-05,3.96895970391e-05,0,0,0,0,0,0,0,0,1
51,repeated_corner_exit.csv,cold-soak,0,unknown,0.8,0.75,600,80,6001,6000,0,0,0,300000,-1,-1,-1,-1,-1,-1,-1,0,0,0.1168750301,0.116866112249,0.116342552006,0.116333679056,8.91809602317e-06,8.91809602317e-06,0,0,0,0,0,0,0,0,1
52,repeated_corner_exit.csv,known-cold,0,unknown,0.8,0.25,120,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.278456896544,0.278338383421,0.271060734987,0.270945227199,0.000118513122821,0.000118513122821,0,0,0,0,0,0,0,0,1
53,repeated_corner_exit.csv,known-cold,0,unknown,0.8,0.25,300,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.18923176825,0.189192922625,0.187308654189,0.187270008629,3.88456253023e-05,3.88456253023e-05,0,0,0,0,0,0,0,0,1
54,repeated_corner_exit.csv,known-cold,0,unknown,0.8,0.25,600,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.121838204563,0.121828979703,0.121283121407,0.12127393606,9.22516591688e-06,9.22516591688e-06,0,0,0,0,0,0,0,0,1
55,repeated_corner_exit.csv,known-cold,0,unknown,0.8,0.5,120,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.278456896544,0.278338351947,0.271060734987,0.270945196561,0.000118544596962,0.000118544596962,0,0,0,0,0,0,0,0,1
56,repeated_corner_exit.csv,known-cold,0,unknown,0.8,0.5,300,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.18891787529,0.188878484768,0.186997935176,0.186958766647,3.93905214826e-05,3.93905214826e-05,0,0,0,0,0,0,0,0,1
57,repeated_corner_exit.csv,known-cold,0,unknown,0.8,0.5,600,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.11706289649,0.117053039674,0.116529561579,0.116519754854,9.85841059215e-06,9.85841059215e-06,0,0,0,0,0,0,0,0,1
58,repeated_corner_exit.csv,known-cold,0,unknown,0.8,0.75,120,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.278456896544,0.278338351947,0.271060734987,0.270945196561,0.000118544596966,0.000118544596966,0,0,0,0,0,0,0,0,1
59,repeated_corner_exit.csv,known-cold,0,unknown,0.8,0.75,300,80,6001,6000,0,0,0,100,-1,-1,-1,-1,-1,-1,-1,0,0,0.188917651772,0.188877962175,0.18699772656,0.186958249366,3.96895970391e-05,3.96895970391e-05,0,0,0,0,0,0,0,0,1
