timestamp_ms,current_a,current_uncertainty_a,temperature_proxy_c,measurement_valid,current_calibrated,current_polarity_validated,temperature_measured_at_fuse,model_validated,event
0,0.000000,0.500000,25.000000,1,1,1,0,1,
100,0.000000,0.500000,25.000000,1,1,1,0,1,
200,0.000000,0.500000,25.000000,1,1,1,0,1,
300,0.000000,0.500000,25.000000,1,1,1,0,1,
400,0.000000,0.500000,25.000000,1,1,1,0,1,
500,0.000000,0.500000,25.000000,1,1,1,0,1,
600,0.000000,0.500000,25.000000,1,1,1,0,1,
700,0.000000,0.500000,25.000000,1,1,1,0,1,
800,0.000000,0.500000,25.000000,1,1,1,0,1,
900,0.000000,0.500000,25.000000,1,1,1,0,1,
1000,0.000000,0.500000,25.000000,1,1,1,0,1,
1100,0.000000,0.500000,25.000000,1,1,1,0,1,
1200,0.000000,0.500000,25.000000,1,1,1,0,1,
1300,0.000000,0.500000,25.000000,1,1,1,0,1,
1400,0.000000,0.500000,25.000000,1,1,1,0,1,
1500,0.000000,0.500000,25.000000,1,1,1,0,1,
1600,0.000000,0.500000,25.000000,1,1,1,0,1,
1700,0.000000,0.500000,25.000000,1,1,1,0,1,
1800,0.000000,0.500000,25.000000,1,1,1,0,1,
1900,0.000000,0.500000,25.000000,1,1,1,0,1,
2000,0.000000,0.500000,25.000000,1,1,1,0,1,
2100,0.000000,0.500000,25.000000,1,1,1,0,1,
2200,0.000000,0.500000,25.000000,1,1,1,0,1,
2300,0.000000,0.500000,25.000000,1,1,1,0,1,
2400,0.000000,0.500000,25.000000,1,1,1,0,1,
2500,0.000000,0.500000,25.000000,1,1,1,0,1,
2600,0.000000,0.500000,25.000000,1,1,1,0,1,
2700,0.000000,0.500000,25.000000,1,1,1,0,1,
2800,0.000000,0.500000,25.000000,1,1,1,0,1,
2900,0.000000,0.500000,25.000000,1,1,1,0,1,
3000,0.000000,0.500000,25.000000,1,1,1,0,1,
3100,0.000000,0.500000,25.000000,1,1,1,0,1,
3200,0.000000,0.500000,25.000000,1,1,1,0,1,
3300,0.000000,0.500000,25.000000,1,1,1,0,1,
3400,0.000000,0.500000,25.000000,1,1,1,0,1,
3500,0.000000,0.500000,25.000000,1,1,1,0,1,
3600,0.000000,0.500000,25.000000,1,1,1,0,1,
3700,0.000000,0.500000,25.000000,1,1,1,0,1,
3800,0.000000,0.500000,25.000000,1,1,1,0,1,
3900,0.000000,0.500000,25.000000,1,1,1,0,1,
4000,0.000000,0.500000,25.000000,1,1,1,0,1,
4100,0.000000,0.500000,25.000000,1,1,1,0,1,
4200,0.000000,0.500000,25.000000,1,1,1,0,1,
4300,0.000000,0.500000,25.000000,1,1,1,0,1,
4400,0.000000,0.500000,25.000000,1,1,1,0,1,
4500,0.000000,0.500000,25.000000,1,1,1,0,1,
4600,0.000000,0.500000,25.000000,1,1,1,0,1,
4700,0.000000,0.500000,25.000000,1,1,1,0,1,
4800,0.000000,0.500000,25.000000,1,1,1,0,1,
4900,0.000000,0.500000,25.000000,1,1,1,0,1,
5000,0.000000,0.500000,25.000000,1,1,1,0,1,
5100,0.000000,0.500000,25.000000,1,1,1,0,1,
5200,0.000000,0.500000,25.000000,1,1,1,0,1,
5300,0.000000,0.500000,25.000000,1,1,1,0,1,
5400,0.000000,0.500000,25.000000,1,1,1,0,1,
5500,0.000000,0.500000,25.000000,1,1,1,0,1,
5600,0.000000,0.500000,25.000000,1,1,1,0,1,
5700,0.000000,0.500000,25.000000,1,1,1,0,1,
5800,0.000000,0.500000,25.000000,1,1,1,0,1,
5900,0.000000,0.500000,25.000000,1,1,1,0,1,
6000,0.000000,0.500000,25.000000,1,1,1,0,1,
6100,0.000000,0.500000,25.000000,1,1,1,0,1,
6200,0.000000,0.500000,25.000000,1,1,1,0,1,
6300,0.000000,0.500000,25.000000,1,1,1,0,1,
6400,0.000000,0.500000,25.000000,1,1,1,0,1,
6500,0.000000,0.500000,25.000000,1,1,1,0,1,
6600,0.000000,0.500000,25.000000,1,1,1,0,1,
6700,0.000000,0.500000,25.000000,1,1,1,0,1,
6800,0.000000,0.500000,25.000000,1,1,1,0,1,
6900,0.000000,0.500000,25.000000,1,1,1,0,1,
7000,0.000000,0.500000,25.000000,1,1,1,0,1,
7100,0.000000,0.500000,25.000000,1,1,1,0,1,
7200,0.000000,0.500000,25.000000,1,1,1,0,1,
7300,0.000000,0.500000,25.000000,1,1,1,0,1,
7400,0.000000,0.500000,25.000000,1,1,1,0,1,
7500,0.000000,0.500000,25.000000,1,1,1,0,1,
7600,0.000000,0.500000,25.000000,1,1,1,0,1,
7700,0.000000,0.500000,25.000000,1,1,1,0,1,
7800,0.000000,0.500000,25.000000,1,1,1,0,1,
7900,0.000000,0.500000,25.000000,1,1,1,0,1,
8000,0.000000,0.500000,25.000000,1,1,1,0,1,
8100,0.000000,0.500000,25.000000,1,1,1,0,1,
8200,0.000000,0.500000,25.000000,1,1,1,0,1,
8300,0.000000,0.500000,25.000000,1,1,1,0,1,
8400,0.000000,0.500000,25.000000,1,1,1,0,1,
8500,0.000000,0.500000,25.000000,1,1,1,0,1,
8600,0.000000,0.500000,25.000000,1,1,1,0,1,
8700,0.000000,0.500000,25.000000,1,1,1,0,1,
8800,0.000000,0.500000,25.000000,1,1,1,0,1,
8900,0.000000,0.500000,25.000000,1,1,1,0,1,
9000,0.000000,0.500000,25.000000,1,1,1,0,1,
9100,0.000000,0.500000,25.000000,1,1,1,0,1,
9200,0.000000,0.500000,25.000000,1,1,1,0,1,
9300,0.000000,0.500000,25.000000,1,1,1,0,1,
9400,0.000000,0.500000,25.000000,1,1,1,0,1,
9500,0.000000,0.500000,25.000000,1,1,1,0,1,
9600,0.000000,0.500000,25.000000,1,1,1,0,1,
9700,0.000000,0.500000,25.000000,1,1,1,0,1,
9800,0.000000,0.500000,25.000000,1,1,1,0,1,
9900,0.000000,0.500000,25.000000,1,1,1,0,1,
10000,0.000000,0.500000,25.000000,1,1,1,0,1,
10100,0.000000,0.500000,25.000000,1,1,1,0,1,
10200,0.000000,0.500000,25.000000,1,1,1,0,1,
10300,0.000000,0.500000,25.000000,1,1,1,0,1,
10400,0.000000,0.500000,25.000000,1,1,1,0,1,
10500,0.000000,0.500000,25.000000,1,1,1,0,1,
10600,0.000000,0.500000,25.000000,1,1,1,0,1,
10700,0.000000,0.500000,25.000000,1,1,1,0,1,
10800,0.000000,0.500000,25.000000,1,1,1,0,1,
10900,0.000000,0.500000,25.000000,1,1,1,0,1,
11000,0.000000,0.500000,25.000000,1,1,1,0,1,
11100,0.000000,0.500000,25.000000,1,1,1,0,1,
11200,0.000000,0.500000,25.000000,1,1,1,0,1,
11300,0.000000,0.500000,25.000000,1,1,1,0,1,
11400,0.000000,0.500000,25.000000,1,1,1,0,1,
11500,0.000000,0.500000,25.000000,1,1,1,0,1,
11600,0.000000,0.500000,25.000000,1,1,1,0,1,
11700,0.000000,0.500000,25.000000,1,1,1,0,1,
11800,0.000000,0.500000,25.000000,1,1,1,0,1,
11900,0.000000,0.500000,25.000000,1,1,1,0,1,
12000,0.000000,0.500000,25.000000,1,1,1,0,1,
12100,0.000000,0.500000,25.000000,1,1,1,0,1,
12200,0.000000,0.500000,25.000000,1,1,1,0,1,
12300,0.000000,0.500000,25.000000,1,1,1,0,1,
12400,0.000000,0.500000,25.000000,1,1,1,0,1,
12500,0.000000,0.500000,25.000000,1,1,1,0,1,
12600,0.000000,0.500000,25.000000,1,1,1,0,1,
12700,0.000000,0.500000,25.000000,1,1,1,0,1,
12800,0.000000,0.500000,25.000000,1,1,1,0,1,
12900,0.000000,0.500000,25.000000,1,1,1,0,1,
13000,0.000000,0.500000,25.000000,1,1,1,0,1,
13100,0.000000,0.500000,25.000000,1,1,1,0,1,
13200,0.000000,0.500000,25.000000,1,1,1,0,1,
13300,0.000000,0.500000,25.000000,1,1,1,0,1,
13400,0.000000,0.500000,25.000000,1,1,1,0,1,
13500,0.000000,0.500000,25.000000,1,1,1,0,1,
13600,0.000000,0.500000,25.000000,1,1,1,0,1,
13700,0.000000,0.500000,25.000000,1,1,1,0,1,
13800,0.000000,0.500000,25.000000,1,1,1,0,1,
13900,0.000000,0.500000,25.000000,1,1,1,0,1,
14000,0.000000,0.500000,25.000000,1,1,1,0,1,
14100,0.000000,0.500000,25.000000,1,1,1,0,1,
14200,0.000000,0.500000,25.000000,1,1,1,0,1,
14300,0.000000,0.500000,25.000000,1,1,1,0,1,
14400,0.000000,0.500000,25.000000,1,1,1,0,1,
14500,0.000000,0.500000,25.000000,1,1,1,0,1,
14600,0.000000,0.500000,25.000000,1,1,1,0,1,
14700,0.000000,0.500000,25.000000,1,1,1,0,1,
14800,0.000000,0.500000,25.000000,1,1,1,0,1,
14900,0.000000,0.500000,25.000000,1,1,1,0,1,
15000,0.000000,0.500000,25.000000,1,1,1,0,1,
15100,0.000000,0.500000,25.000000,1,1,1,0,1,
15200,0.000000,0.500000,25.000000,1,1,1,0,1,
15300,0.000000,0.500000,25.000000,1,1,1,0,1,
15400,0.000000,0.500000,25.000000,1,1,1,0,1,
15500,0.000000,0.500000,25.000000,1,1,1,0,1,
15600,0.000000,0.500000,25.000000,1,1,1,0,1,
15700,0.000000,0.500000,25.000000,1,1,1,0,1,
15800,0.000000,0.500000,25.000000,1,1,1,0,1,
15900,0.000000,0.500000,25.000000,1,1,1,0,1,
16000,0.000000,0.500000,25.000000,1,1,1,0,1,
16100,0.000000,0.500000,25.000000,1,1,1,0,1,
16200,0.000000,0.500000,25.000000,1,1,1,0,1,
16300,0.000000,0.500000,25.000000,1,1,1,0,1,
16400,0.000000,0.500000,25.000000,1,1,1,0,1,
16500,0.000000,0.500000,25.000000,1,1,1,0,1,
16600,0.000000,0.500000,25.000000,1,1,1,0,1,
16700,0.000000,0.500000,25.000000,1,1,1,0,1,
16800,0.000000,0.500000,25.000000,1,1,1,0,1,
16900,0.000000,0.500000,25.000000,1,1,1,0,1,
17000,0.000000,0.500000,25.000000,1,1,1,0,1,
17100,0.000000,0.500000,25.000000,1,1,1,0,1,
17200,0.000000,0.500000,25.000000,1,1,1,0,1,
17300,0.000000,0.500000,25.000000,1,1,1,0,1,
17400,0.000000,0.500000,25.000000,1,1,1,0,1,
17500,0.000000,0.500000,25.000000,1,1,1,0,1,
17600,0.000000,0.500000,25.000000,1,1,1,0,1,
17700,0.000000,0.500000,25.000000,1,1,1,0,1,
17800,0.000000,0.500000,25.000000,1,1,1,0,1,
17900,0.000000,0.500000,25.000000,1,1,1,0,1,
18000,0.000000,0.500000,25.000000,1,1,1,0,1,
18100,0.000000,0.500000,25.000000,1,1,1,0,1,
18200,0.000000,0.500000,25.000000,1,1,1,0,1,
18300,0.000000,0.500000,25.000000,1,1,1,0,1,
18400,0.000000,0.500000,25.000000,1,1,1,0,1,
18500,0.000000,0.500000,25.000000,1,1,1,0,1,
18600,0.000000,0.500000,25.000000,1,1,1,0,1,
18700,0.000000,0.500000,25.000000,1,1,1,0,1,
18800,0.000000,0.500000,25.000000,1,1,1,0,1,
18900,0.000000,0.500000,25.000000,1,1,1,0,1,
