true_temperature_c,decoded_min_c,decoded_max_c,error_min_c,error_max_c,pull_only_error_min_c,pull_only_error_max_c
-20.0,-20.000000000,-18.767105560,0.000000000,1.232894440,0.000000000,0.846144912
-19.5,-20.000000000,-18.265846377,-0.500000000,1.234153623,-0.500000000,0.848899279
-19.0,-20.000000000,-17.764592285,-1.000000000,1.235407715,-0.887129118,0.851658008
-18.5,-19.758046328,-17.263346312,-1.258046328,1.236653688,-0.890062959,0.854423941
-18.0,-19.259544556,-16.762087578,-1.259544556,1.237912422,-0.893003527,0.857192985
-17.5,-18.761033951,-16.260835157,-1.261033951,1.239164843,-0.895951509,0.859967250
-17.0,-18.262511438,-15.759588501,-1.262511438,1.240411499,-0.898903238,0.862747091
-16.5,-17.764015028,-15.258324706,-1.264015028,1.241675294,-0.901862277,0.865531425
-16.0,-17.265500655,-14.757067902,-1.265500655,1.242932098,-0.904826529,0.868321844
-15.5,-16.766987089,-14.255823133,-1.266987089,1.244176867,-0.907797741,0.871116165
-15.0,-16.268497863,-13.754549548,-1.268497863,1.245450452,-0.910774547,0.873916493
-14.5,-15.769988746,-13.253284308,-1.269988746,1.246715692,-0.913757531,0.876721651
-14.0,-15.271489294,-12.752022763,-1.271489294,1.247977237,-0.916746381,0.879532228
-13.5,-14.772986344,-12.250763786,-1.272986344,1.249236214,-0.919742221,0.882345040
-13.0,-14.274469916,-11.749514933,-1.274469916,1.250485067,-0.922743071,0.885164897
-12.5,-13.775964108,-11.248264404,-1.275964108,1.251735596,-0.925747899,0.887990633
-12.0,-13.277475226,-10.746979568,-1.277475226,1.253020432,-0.928760917,0.890821662
-11.5,-12.778961726,-10.245728962,-1.278961726,1.254271038,-0.931780456,0.893656872
-11.0,-12.280475833,-9.744470852,-1.280475833,1.255529148,-0.934806591,0.896495087
-10.5,-11.781962391,-9.243205267,-1.281962391,1.256794733,-0.937837144,0.899340368
-10.0,-11.283469655,-8.741914126,-1.283469655,1.258085874,-0.940872097,0.902192600
-9.5,-10.784965678,-8.240666283,-1.284965678,1.259333717,-0.943915379,0.905049447
-9.0,-10.286464545,-7.739404633,-1.286464545,1.260595367,-0.946966433,0.907906529
-8.5,-9.787960170,-7.238124656,-1.287960170,1.261875344,-0.950022866,0.910772026
-8.0,-9.289463216,-6.736840612,-1.289463216,1.263159388,-0.953079542,0.913643796
-7.5,-8.790967904,-6.235588261,-1.290967904,1.264411739,-0.956148023,0.916517633
-7.0,-8.292489947,-5.734312034,-1.292489947,1.265687966,-0.959220798,0.919400457
-6.5,-7.793983802,-5.233049247,-1.293983802,1.266950753,-0.962299210,0.922280837
-6.0,-7.295503657,-4.731785393,-1.295503657,1.268214607,-0.965385607,0.925173112
-5.5,-6.796968309,-4.230488955,-1.296968309,1.269511045,-0.968470861,0.928071848
-5.0,-6.298481978,-3.729238849,-1.298481978,1.270761151,-0.971570398,0.930968336
-4.5,-5.800015577,-3.227966469,-1.300015577,1.272033531,-0.974675574,0.933874109
-4.0,-5.301509969,-2.726673760,-1.301509969,1.273326240,-0.977779961,0.936785291
-3.5,-4.803026671,-2.225398250,-1.303026671,1.274601750,-0.980895039,0.939701983
-3.0,-4.304524811,-1.724109735,-1.304524811,1.275890265,-0.984015844,0.942622530
-2.5,-3.806035471,-1.222868738,-1.306035471,1.277131262,-0.987143803,0.945548945
-2.0,-3.307525225,-0.721555363,-1.307525225,1.278444637,-0.990275580,0.948477350
-1.5,-2.809048606,-0.220302926,-1.309048606,1.279697074,-0.993415286,0.951411373
-1.0,-2.310537433,0.280986761,-1.310537433,1.280986761,-0.996556286,0.954355368
-0.5,-1.812071395,0.782261110,-1.312071395,1.282261110,-0.999705535,0.957299832
0.0,-1.313603362,1.283541037,-1.313603362,1.283541037,-1.002783288,0.960249938
0.5,-0.815066965,1.784801332,-1.315066965,1.284801332,-1.005855227,0.963204469
1.0,-0.316612534,2.286098468,-1.316612534,1.286098468,-1.008933278,0.966165064
1.5,0.181854214,2.787372902,-1.318145786,1.287372902,-1.012017770,0.969133043
2.0,0.680396500,3.288640490,-1.319603500,1.288640490,-1.015108827,0.972106004
2.5,1.178824516,3.789944738,-1.321175484,1.289944738,-1.018209424,0.975073749
3.0,1.677366646,4.291198349,-1.322633354,1.291198349,-1.021315258,0.978055301
3.5,2.175858664,4.792542295,-1.324141336,1.292542295,-1.024417753,0.981044170
4.0,2.674284875,5.293768667,-1.325715125,1.293768667,-1.027535092,0.984033424
4.5,3.172785565,5.795053192,-1.327214435,1.295053192,-1.030660675,0.987032261
5.0,3.671309441,6.296356529,-1.328690559,1.296356529,-1.033788483,0.990036047
5.5,4.169733403,6.797664405,-1.330266597,1.297664405,-1.036926742,0.993032053
6.0,4.668259156,7.298882742,-1.331740844,1.298882742,-1.040071178,0.996041570
6.5,5.166707636,7.800186629,-1.333292364,1.300186629,-1.043209236,0.999062864
7.0,5.665242573,8.301508484,-1.334757427,1.301508484,-1.046361980,1.002144409
7.5,6.163695295,8.802792578,-1.336304705,1.302792578,-1.049526561,1.005252814
8.0,6.662175124,9.304088985,-1.337824876,1.304088985,-1.052696727,1.008362853
8.5,7.160638300,9.805361316,-1.339361700,1.305361316,-1.055868100,1.011485509
9.0,7.659133064,10.306694064,-1.340866936,1.306694064,-1.059043838,1.014603997
9.5,8.157635401,10.807979397,-1.342364599,1.307979397,-1.062232012,1.017731646
10.0,8.656124096,11.309220612,-1.343875904,1.309220612,-1.065418851,1.020862959
10.5,9.154602880,11.810551855,-1.345397120,1.310551855,-1.068616287,1.023993201
11.0,9.653079127,12.311788702,-1.346920873,1.311788702,-1.071817829,1.027139850
11.5,10.151578008,12.813096192,-1.348421992,1.313096192,-1.075021358,1.030289781
12.0,10.650031819,13.314410784,-1.349968181,1.314410784,-1.078240912,1.033449851
12.5,11.148485621,13.815703809,-1.351514379,1.315703809,-1.081465434,1.036597622
13.0,11.647016938,14.316944797,-1.352983062,1.316944797,-1.084704421,1.039753502
13.5,12.145470966,14.818234297,-1.354529034,1.318234297,-1.087929255,1.042931455
14.0,12.643941980,15.319567246,-1.356058020,1.319567246,-1.091167856,1.046093295
14.5,13.142419146,15.820829709,-1.357580854,1.320829709,-1.094422959,1.049255080
15.0,13.640888521,16.322041194,-1.359111479,1.322041194,-1.097672337,1.052431715
15.5,14.139385241,16.823370589,-1.360614759,1.323370589,-1.100917101,1.055627641
16.0,14.637920940,17.324727331,-1.362079060,1.324727331,-1.104178923,1.058819522
16.5,15.136392215,17.826026755,-1.363607785,1.326026755,-1.107459362,1.062012707
17.0,15.634845771,18.327335249,-1.365154229,1.327335249,-1.110741808,1.065212193
17.5,16.133361258,18.828589949,-1.366638742,1.328589949,-1.114025609,1.068412213
18.0,16.631862142,19.329884525,-1.368137858,1.329884525,-1.117317462,1.071617781
18.5,17.130278743,19.831184661,-1.369721257,1.331184661,-1.120609785,1.074826956
19.0,17.628715898,20.332447036,-1.371284102,1.332447036,-1.123912025,1.078044607
19.5,18.127301683,20.833811137,-1.372698317,1.333811137,-1.127213870,1.081267819
20.0,18.625660913,21.335109425,-1.374339087,1.335109425,-1.130531810,1.084478126
20.5,19.124297228,21.836328201,-1.375702772,1.336328201,-1.133852409,1.087718182
21.0,19.622662446,22.337641958,-1.377337554,1.337641958,-1.137163847,1.090967307
21.5,20.121126502,22.838903505,-1.378873498,1.338903505,-1.140502964,1.094192354
22.0,20.619692366,23.340127244,-1.380307634,1.340127244,-1.143855063,1.097436418
22.5,21.118201390,23.841570737,-1.381798610,1.341570737,-1.147186926,1.100690938
23.0,21.616702279,24.342873666,-1.383297721,1.342873666,-1.150539487,1.103941831
23.5,22.115014354,24.844107499,-1.384985646,1.344107499,-1.153892638,1.107202362
24.0,22.613611216,25.345349108,-1.386388784,1.345349108,-1.157262146,1.110463353
24.5,23.112169733,25.846668379,-1.387830267,1.346668379,-1.160623505,1.113744471
25.0,23.610527894,26.347978685,-1.389472106,1.347978685,-1.164001605,1.116997662
25.5,24.103937428,26.854590864,-1.396062572,1.354590864,-1.167394450,1.120271534
26.0,24.597329434,27.360981303,-1.402670566,1.360981303,-1.170761709,1.123565436
26.5,25.090626807,27.867515311,-1.409373193,1.367515311,-1.174156539,1.126846540
27.0,25.583956994,28.374109436,-1.416043006,1.374109436,-1.177553440,1.130153549
27.5,26.077220299,28.880645608,-1.422779701,1.380645608,-1.180964453,1.133451604
28.0,26.570634640,29.387332798,-1.429365360,1.387332798,-1.184379293,1.136744248
28.5,27.063833154,29.893815060,-1.436166846,1.393815060,-1.187812086,1.140042318
29.0,27.557042507,30.400568317,-1.442957493,1.400568317,-1.191218543,1.143365371
29.5,28.050191229,30.907267262,-1.449808771,1.407267262,-1.194649254,1.146664078
30.0,28.543531646,31.413874083,-1.456468354,1.413874083,-1.198086229,1.149981879
30.5,29.036709048,31.920327581,-1.463290952,1.420327581,-1.201522768,1.153319269
31.0,29.530035807,32.427200507,-1.469964193,1.427200507,-1.204958407,1.156663730
31.5,30.023158019,32.933861379,-1.476841981,1.433861379,-1.208423722,1.159993289
32.0,30.516377625,33.440264662,-1.483622375,1.440264662,-1.211896549,1.163316249
32.5,31.009376048,33.947118721,-1.490623952,1.447118721,-1.215367405,1.166643427
33.0,31.502833726,34.453694734,-1.497166274,1.453694734,-1.218830684,1.169999558
33.5,31.995858657,34.960414339,-1.504141343,1.460414339,-1.222275748,1.173363476
34.0,32.489104699,35.467271036,-1.510895301,1.467271036,-1.225781846,1.176703264
34.5,32.982547114,35.973948700,-1.517452886,1.473948700,-1.229256766,1.180091787
35.0,33.475873461,36.480892624,-1.524126539,1.480892624,-1.232763461,1.183450980
35.5,33.968838641,36.987329748,-1.531161359,1.487329748,-1.236267287,1.186829360
36.0,34.462139001,37.494173329,-1.537860999,1.494173329,-1.239775486,1.190200314
36.5,34.955578039,38.001090262,-1.544421961,1.501090262,-1.243309295,1.193564019
37.0,35.448815858,38.507873586,-1.551184142,1.507873586,-1.246803518,1.196968579
37.5,35.941941155,39.014942928,-1.558058845,1.514942928,-1.250336429,1.200329709
38.0,36.435091847,39.521982246,-1.564908153,1.521982246,-1.253864874,1.203736376
38.5,36.928319736,40.029094537,-1.571680264,1.529094537,-1.257388273,1.207169871
39.0,37.421409449,40.535943069,-1.578590551,1.535943069,-1.260926918,1.210564634
39.5,37.914452658,41.042756937,-1.585547342,1.542756937,-1.264503357,1.213956911
40.0,38.407598010,41.550085421,-1.592401990,1.550085421,-1.268077037,1.217388338
40.5,38.900592523,42.057160581,-1.599407477,1.557160581,-1.271600867,1.220830626
41.0,39.393605261,42.564227298,-1.606394739,1.564227298,-1.275193102,1.224211273
41.5,39.886813704,43.070905766,-1.613186296,1.570905766,-1.278784447,1.227640803
42.0,40.379914963,43.577934769,-1.620085037,1.577934769,-1.282337544,1.231095315
42.5,40.872685456,44.085044020,-1.627314544,1.585044020,-1.285919675,1.234504976
43.0,41.365808193,44.592477810,-1.634191807,1.592477810,-1.289513577,1.237955150
43.5,41.858993112,45.099359895,-1.641006888,1.599359895,-1.293108702,1.241400969
44.0,42.352019938,45.606576787,-1.647980062,1.606576787,-1.296698281,1.244848454
44.5,42.844565411,46.113778540,-1.655434589,1.613778540,-1.300324500,1.248310431
45.0,43.338014859,46.620664836,-1.661985141,1.620664836,-1.303911122,1.251793667
45.5,43.830419061,47.127594785,-1.669580939,1.627594785,-1.307553507,1.255222074
46.0,44.323817010,47.634856639,-1.676182990,1.634856639,-1.311194943,1.258696496
46.5,44.816745526,48.142178158,-1.683254474,1.642178158,-1.314805473,1.262197463
47.0,45.309564735,48.649315969,-1.690435265,1.649315969,-1.318435381,1.265682621
47.5,45.802620435,49.156547115,-1.697379565,1.656547115,-1.322101487,1.269152855
48.0,46.294958853,49.663684464,-1.705041147,1.663684464,-1.325738613,1.272669813
48.5,46.788298694,50.171063352,-1.711701306,1.671063352,-1.329442512,1.276101148
49.0,47.281088568,50.677771078,-1.718911432,1.677771078,-1.333053884,1.279646018
49.5,47.773670296,51.185613811,-1.726329704,1.685613811,-1.336759591,1.283144551
50.0,48.266526060,51.692878505,-1.733473940,1.692878505,-1.340375109,1.286675027
50.5,48.759363187,52.200079646,-1.740636813,1.700079646,-1.344096969,1.290170373
51.0,49.251921105,52.706852573,-1.748078895,1.706852573,-1.347808916,1.293663557
51.5,49.744695071,53.214541559,-1.755304929,1.714541559,-1.351467163,1.297223917
52.0,50.237416550,53.721318304,-1.762583450,1.721318304,-1.355179855,1.300729157
52.5,50.730661822,54.229260520,-1.769338178,1.729260520,-1.358868255,1.304304501
53.0,51.223325525,54.736492879,-1.776674475,1.736492879,-1.362580463,1.307846965
53.5,51.715956821,55.243654712,-1.784043179,1.743654712,-1.366313419,1.311326464
54.0,52.208342503,55.750355631,-1.791657497,1.750355631,-1.370081464,1.314878667
54.5,52.701004895,56.258131023,-1.798995105,1.758131023,-1.373758439,1.318459049
55.0,53.193754197,56.765968106,-1.806245803,1.765968106,-1.377457795,1.321980328
55.5,53.686368150,57.272556765,-1.813631850,1.772556765,-1.381247003,1.325526704
56.0,54.179424999,57.780408771,-1.820575001,1.780408771,-1.384949083,1.329203255
56.5,54.671761514,58.287472831,-1.828238486,1.787472831,-1.388688397,1.332738458
57.0,55.164145278,58.795355076,-1.835854722,1.795355076,-1.392486537,1.336277416
57.5,55.657236351,59.302905761,-1.842763649,1.802905761,-1.396312878,1.339827757
58.0,56.149763595,59.809807694,-1.850236405,1.809807694,-1.400022558,1.343489591
