case_index,trace,startup_policy,startup_utilization,reset_policy,reset_utilization,usable_i2t_fraction,cooling_tau_s,rated_current_a,samples,valid_updates,invalid_updates,reset_events,authority_loss_events,first_authority_ms,first_reset_ms,first_post_reset_authority_ms,first_post_reset_exhaust_ms,first_prod_exhaust_ms,first_ref_exhaust_ms,first_prod_recovery_ms,first_ref_recovery_ms,prod_utilization_before_reset,prod_utilization_after_reset_seed,max_prod_utilization,max_ref_utilization,final_prod_utilization,final_ref_utilization,max_state_abs_error_a2s,max_state_rel_error,max_cap_abs_error_a,production_underestimate_violations,cap_nonconservative_violations,cap_tolerance_violations,state_tolerance_violations,result_mismatch_violations,latch_mismatch_samples,latch_nonconservative_violations,strict_pass
1,single_100a_0p5s.csv,cold-soak,0,unknown,0.8,0.25,300,80,10001,10000,0,0,0,300000,-1,-1,-1,305400,305400,524000,524000,0,0,1.03602814674,1.03585520028,0.102310195565,0.102273364976,0.346750073658,0.000360127944047,0.0143314836264,0,0,0,0,0,0,0,1
2,single_100a_1p0s.csv,cold-soak,0,unknown,0.8,0.25,300,80,10001,10000,0,0,0,300000,-1,-1,-1,305400,305400,732200,732200,0,0,2.07033157349,2.06998541309,0.204792186618,0.204717327689,0.693939410465,0.000365677603089,0.0143314836264,0,0,0,0,0,0,0,1
3,single_100a_1p5s.csv,cold-soak,0,unknown,0.8,0.25,300,80,10001,10000,0,0,0,300000,-1,-1,-1,305400,305400,854100,854000,0,0,3.10291171074,3.10239351101,0.307444274426,0.307332172704,1.03890105449,0.000364775415575,0.0143314836264,0,0,0,0,0,1,0,1
4,single_100a_3p0s.csv,cold-soak,0,unknown,0.8,0.25,300,80,10001,10000,0,0,0,300000,-1,-1,-1,305400,305400,931800,931800,0,0,4,4,0.398317009211,0.398237916058,1.31485994268,0.000198616413275,0.0143314836264,0,0,0,0,0,0,0,1
5,single_100a_1p5s.csv,cold-soak,0,unknown,0.8,0.25,120,80,10001,10000,0,0,0,300000,-1,-1,-1,305400,305400,525100,525000,0,0,3.09208726883,3.09079822436,0.00955133512616,0.00954659527711,2.58432577702,0.000496492972928,0.0357306252514,0,0,0,0,0,1,0,1
6,single_100a_1p5s.csv,cold-soak,0,unknown,0.8,0.25,300,80,10001,10000,0,0,0,300000,-1,-1,-1,305400,305400,854100,854000,0,0,3.10291171074,3.10239351101,0.307444274426,0.307332172704,1.03890105449,0.000364775415575,0.0143314836264,0,0,0,0,0,1,0,1
7,single_100a_1p5s.csv,cold-soak,0,unknown,0.8,0.25,600,80,10001,10000,0,0,0,300000,-1,-1,-1,305400,305400,-1,-1,0,0,3.10653114319,3.10627150093,0.977746009827,0.977676066113,0.520367188833,8.37178172438e-05,0.00717650349648,0,0,0,0,0,0,0,1
8,single_100a_1p5s.csv,cold-soak,0,unknown,0.8,0.5,120,80,10001,10000,0,0,0,300000,-1,-1,-1,305900,305900,441900,441900,0,0,1.54604363441,1.54539911218,0.00477566756308,0.00477329763855,2.58432577702,0.000496492972928,0.0830660170605,0,0,0,0,0,0,0,1
9,single_100a_1p5s.csv,cold-soak,0,unknown,0.8,0.5,300,80,10001,10000,0,0,0,300000,-1,-1,-1,305900,305900,646200,646100,0,0,1.55145585537,1.5511967555,0.153722137213,0.153666086352,1.03890105449,0.000364775415575,0.0335156610024,0,0,0,0,0,1,0,1
10,single_100a_1p5s.csv,cold-soak,0,unknown,0.8,0.5,600,80,10001,10000,0,0,0,300000,-1,-1,-1,305900,305900,986500,986500,0,0,1.55326557159,1.55313575047,0.488873004913,0.488838033056,0.520367188833,8.37178172438e-05,0.0168294592026,0,0,0,0,0,0,0,1
11,single_100a_1p5s.csv,cold-soak,0,unknown,0.8,0.75,120,80,10001,10000,0,0,0,300000,-1,-1,-1,306400,306400,393300,393200,0,0,1.0306956768,1.03026607479,0.00318377837539,0.0031821984257,2.58432577702,0.000496492972928,0.133098095624,0,0,0,0,0,1,0,1
12,single_100a_1p5s.csv,cold-soak,0,unknown,0.8,0.75,300,80,10001,10000,0,0,0,300000,-1,-1,-1,306400,306400,524500,524500,0,0,1.03430390358,1.03413117034,0.102481424809,0.102444057568,1.03890105449,0.000364775415575,0.0541549582756,0,0,0,0,0,0,0,1
13,single_100a_1p5s.csv,cold-soak,0,unknown,0.8,0.75,600,80,10001,10000,0,0,0,300000,-1,-1,-1,306400,306400,743300,743200,0,0,1.03551030159,1.03542383364,0.325915336609,0.325892022038,0.520367188833,8.37178172438e-05,0.0272280860604,0,0,0,0,0,1,0,1
14,single_100a_1p5s.csv,known-cold,0,unknown,0.8,0.25,120,80,10001,10000,0,0,0,100,-1,-1,-1,305400,305400,525100,525000,0,0,3.09208726883,3.09079822436,0.00955133512616,0.00954659527711,2.58432577702,0.000496492972928,0.0357306252514,0,0,0,0,0,1,0,1
15,single_100a_1p5s.csv,known-cold,0,unknown,0.8,0.25,300,80,10001,10000,0,0,0,100,-1,-1,-1,305400,305400,854100,854000,0,0,3.10291171074,3.10239351101,0.307444274426,0.307332172704,1.03890105449,0.000364775415575,0.0143314836264,0,0,0,0,0,1,0,1
16,single_100a_1p5s.csv,known-cold,0,unknown,0.8,0.25,600,80,10001,10000,0,0,0,100,-1,-1,-1,305400,305400,-1,-1,0,0,3.10653114319,3.10627150093,0.977746009827,0.977676066113,0.520367188833,8.37178172438e-05,0.00717650349648,0,0,0,0,0,0,0,1
17,single_100a_1p5s.csv,known-cold,0,unknown,0.8,0.5,120,80,10001,10000,0,0,0,100,-1,-1,-1,305900,305900,441900,441900,0,0,1.54604363441,1.54539911218,0.00477566756308,0.00477329763855,2.58432577702,0.000496492972928,0.0830660170605,0,0,0,0,0,0,0,1
18,single_100a_1p5s.csv,known-cold,0,unknown,0.8,0.5,300,80,10001,10000,0,0,0,100,-1,-1,-1,305900,305900,646200,646100,0,0,1.55145585537,1.5511967555,0.153722137213,0.153666086352,1.03890105449,0.000364775415575,0.0335156610024,0,0,0,0,0,1,0,1
19,single_100a_1p5s.csv,known-cold,0,unknown,0.8,0.5,600,80,10001,10000,0,0,0,100,-1,-1,-1,305900,305900,986500,986500,0,0,1.55326557159,1.55313575047,0.488873004913,0.488838033056,0.520367188833,8.37178172438e-05,0.0168294592026,0,0,0,0,0,0,0,1
20,single_100a_1p5s.csv,known-cold,0,unknown,0.8,0.75,120,80,10001,10000,0,0,0,100,-1,-1,-1,306400,306400,393300,393200,0,0,1.0306956768,1.03026607479,0.00318377837539,0.0031821984257,2.58432577702,0.000496492972928,0.133098095624,0,0,0,0,0,1,0,1
21,single_100a_1p5s.csv,known-cold,0,unknown,0.8,0.75,300,80,10001,10000,0,0,0,100,-1,-1,-1,306400,306400,524500,524500,0,0,1.03430390358,1.03413117034,0.102481424809,0.102444057568,1.03890105449,0.000364775415575,0.0541549582756,0,0,0,0,0,0,0,1
22,single_100a_1p5s.csv,known-cold,0,unknown,0.8,0.75,600,80,10001,10000,0,0,0,100,-1,-1,-1,306400,306400,743300,743200,0,0,1.03551030159,1.03542383364,0.325915336609,0.325892022038,0.520367188833,8.37178172438e-05,0.0272280860604,0,0,0,0,0,1,0,1
23,single_100a_1p5s.csv,seeded,0.5,unknown,0.8,0.25,120,80,10001,10000,0,0,0,100,-1,-1,-1,305400,305400,526600,526500,0,0,3.13099932671,3.12970913643,0.00967154558748,0.00966678000039,2.5869900598,0.00049303309349,0.0374761023323,0,0,0,0,0,1,0,1
